demande_id,citoyen_id,type_demande,adresse_projet,code_postal,arrondissement,date_demande,date_decision,statut
34,810,PERMIS_CONSTRUIRE,187 Rue de Rome,13014,10e,2025-06-11,2025-08-08,INSTRUCTION
35,1184,PERMIS_CONSTRUIRE,196 Rue de Lodi,13004,8e,2024-06-25,2024-09-15,INSTRUCTION
36,1376,DECLARATION_PREALABLE,75 Boulevard National,13012,6e,2023-11-16,2024-01-20,REFUSEE
37,553,PERMIS_CONSTRUIRE,226 Rue Paradis,13010,1e,2023-12-31,2024-03-08,ACCEPTEE
38,1877,PERMIS_CONSTRUIRE,109 Rue Paradis,13015,11e,2024-10-26,2024-11-22,ACCEPTEE
39,1567,DECLARATION_PREALABLE,142 Rue Saint-Ferréol,13016,13e,2023-05-29,2023-07-30,ENREGISTREE
40,1874,PERMIS_CONSTRUIRE,105 Rue Saint-Ferréol,13011,9e,2023-04-23,2023-05-28,ACCEPTEE
41,1763,AUTORISATION_TRAVAUX,118 Rue de Lodi,13005,3e,2023-10-13,2024-01-22,INSTRUCTION
42,70,DECLARATION_PREALABLE,51 Avenue du Prado,13003,8e,2023-03-09,2023-04-06,ENREGISTREE
43,1457,DECLARATION_PREALABLE,237 Rue de la République,13002,4e,2025-08-27,2025-12-14,INSTRUCTION
44,566,DECLARATION_PREALABLE,212 Rue Saint-Ferréol,13014,9e,2023-06-06,2023-08-16,ACCEPTEE
45,623,AUTORISATION_TRAVAUX,71 Rue de Rome,13002,13e,2024-07-28,2024-11-12,ENREGISTREE
46,1610,AUTORISATION_TRAVAUX,196 Boulevard National,13001,13e,2024-07-01,2024-08-18,ACCEPTEE
47,2468,DECLARATION_PREALABLE,153 Boulevard National,13006,8e,2023-11-04,2024-01-13,ENREGISTREE
48,380,DECLARATION_PREALABLE,112 Boulevard Baille,13015,16e,2023-10-23,2024-01-10,ENREGISTREE
49,1876,AUTORISATION_TRAVAUX,152 Rue de Lodi,13007,11e,2025-01-26,2025-04-15,ENREGISTREE
50,61,DECLARATION_PREALABLE,111 Rue Saint-Ferréol,13003,6e,2023-08-03,2023-09-17,ENREGISTREE
51,909,PERMIS_CONSTRUIRE,223 Rue de la République,13013,7e,2024-10-17,2025-02-08,REFUSEE
52,2354,PERMIS_CONSTRUIRE,214 Avenue du Prado,13005,11e,2023-06-29,2023-07-10,INSTRUCTION
53,2328,AUTORISATION_TRAVAUX,241 Rue de Rome,13001,12e,2023-12-06,2024-01-28,INSTRUCTION
54,1524,AUTORISATION_TRAVAUX,225 Rue d'Aubagne,13010,4e,2024-01-10,2024-04-29,ENREGISTREE
55,1286,PERMIS_CONSTRUIRE,204 Rue de Lodi,13014,3e,2023-06-28,2023-10-17,REFUSEE
56,2158,DECLARATION_PREALABLE,231 Boulevard National,13005,15e,2024-02-02,2024-05-09,REFUSEE
57,734,PERMIS_CONSTRUIRE,45 Rue Saint-Ferréol,13004,2e,2023-01-21,2023-04-01,ENREGISTREE
58,823,PERMIS_CONSTRUIRE,177 Rue de Lodi,13010,6e,2024-12-06,2024-12-23,ENREGISTREE
59,2764,PERMIS_CONSTRUIRE,12 Rue de la République,13001,12e,2024-02-28,2024-05-04,ENREGISTREE
60,2704,AUTORISATION_TRAVAUX,145 Rue de Rome,13013,4e,2025-09-08,2025-12-18,INSTRUCTION
61,2232,AUTORISATION_TRAVAUX,55 Boulevard Baille,13005,8e,2025-09-27,2025-11-29,ENREGISTREE
62,705,PERMIS_CONSTRUIRE,7 Rue d'Aubagne,13002,15e,2024-02-24,2024-05-23,REFUSEE
63,265,DECLARATION_PREALABLE,83 Rue d'Aubagne,13013,6e,2024-03-17,2024-06-12,REFUSEE
64,2028,DECLARATION_PREALABLE,237 Rue Saint-Ferréol,13013,8e,2025-07-19,2025-08-28,REFUSEE
65,819,PERMIS_CONSTRUIRE,224 Boulevard National,13009,15e,2023-10-17,2023-10-30,ENREGISTREE
66,2156,AUTORISATION_TRAVAUX,18 Boulevard National,13004,1e,2024-11-21,2025-03-06,REFUSEE
67,464,DECLARATION_PREALABLE,214 Boulevard National,13012,7e,2024-10-09,2025-01-22,INSTRUCTION
68,1326,AUTORISATION_TRAVAUX,187 Boulevard Baille,13002,15e,2025-03-22,2025-06-02,REFUSEE
69,2081,DECLARATION_PREALABLE,35 Rue d'Aubagne,13011,10e,2025-03-05,2025-06-04,INSTRUCTION
70,808,DECLARATION_PREALABLE,69 Rue Saint-Ferréol,13006,5e,2025-07-31,2025-10-09,REFUSEE
71,337,AUTORISATION_TRAVAUX,179 Rue d'Aubagne,13001,12e,2025-09-04,2025-11-20,ENREGISTREE
72,250,AUTORISATION_TRAVAUX,20 Rue Paradis,13010,7e,2024-09-13,2024-12-06,REFUSEE
73,1720,DECLARATION_PREALABLE,55 Avenue du Prado,13005,4e,2025-10-27,2026-01-14,ACCEPTEE
74,461,AUTORISATION_TRAVAUX,39 Avenue du Prado,13013,9e,2023-10-28,2024-02-20,ENREGISTREE
75,211,AUTORISATION_TRAVAUX,245 Rue de la République,13015,13e,2025-06-22,2025-09-08,ENREGISTREE
76,2500,AUTORISATION_TRAVAUX,95 Rue d'Aubagne,13004,1e,2023-07-23,2023-09-01,ACCEPTEE
77,1017,PERMIS_CONSTRUIRE,68 Rue de Rome,13009,16e,2025-04-18,2025-06-30,INSTRUCTION
78,2460,DECLARATION_PREALABLE,32 Rue Saint-Ferréol,13010,16e,2023-01-19,2023-04-02,ACCEPTEE
79,582,AUTORISATION_TRAVAUX,182 Boulevard Baille,13008,12e,2023-03-15,2023-06-05,ENREGISTREE
80,795,AUTORISATION_TRAVAUX,160 Rue Paradis,13002,6e,2024-03-20,2024-04-19,ENREGISTREE
81,1218,AUTORISATION_TRAVAUX,110 Rue d'Aubagne,13008,7e,2023-06-29,2023-08-29,ENREGISTREE
82,53,AUTORISATION_TRAVAUX,204 Rue Saint-Ferréol,13005,3e,2025-01-11,2025-04-14,ACCEPTEE
83,2213,PERMIS_CONSTRUIRE,83 Rue de Rome,13014,4e,2024-10-21,2024-11-30,INSTRUCTION
84,2605,AUTORISATION_TRAVAUX,168 Rue Saint-Ferréol,13011,4e,2025-03-11,2025-04-22,REFUSEE
85,2368,PERMIS_CONSTRUIRE,42 Rue de la République,13014,11e,2024-01-01,2024-02-03,ENREGISTREE
86,405,PERMIS_CONSTRUIRE,91 Avenue du Prado,13013,4e,2024-02-01,2024-05-27,ACCEPTEE
87,2005,PERMIS_CONSTRUIRE,238 Boulevard National,13010,6e,2023-12-07,2024-02-21,ACCEPTEE
88,1858,AUTORISATION_TRAVAUX,50 Boulevard National,13001,4e,2025-04-15,2025-05-23,INSTRUCTION
89,829,AUTORISATION_TRAVAUX,111 Avenue du Prado,13011,2e,2025-07-30,2025-10-03,REFUSEE
90,2645,AUTORISATION_TRAVAUX,182 Rue d'Aubagne,13003,14e,2023-10-07,2023-12-05,INSTRUCTION
91,1548,DECLARATION_PREALABLE,192 Boulevard National,13016,4e,2025-03-01,2025-05-08,ACCEPTEE
92,1536,AUTORISATION_TRAVAUX,6 Boulevard Baille,13005,9e,2023-04-05,2023-05-02,ENREGISTREE
93,132,PERMIS_CONSTRUIRE,234 Boulevard Baille,13007,15e,2023-04-08,2023-06-10,REFUSEE
94,2345,AUTORISATION_TRAVAUX,27 Avenue du Prado,13012,16e,2023-12-13,2024-02-04,INSTRUCTION
95,2720,AUTORISATION_TRAVAUX,185 Avenue du Prado,13007,14e,2024-12-06,2025-03-20,ACCEPTEE
96,856,AUTORISATION_TRAVAUX,228 Rue de Lodi,13007,11e,2025-05-25,2025-08-12,ACCEPTEE
97,2896,PERMIS_CONSTRUIRE,10 Rue Saint-Ferréol,13012,13e,2023-06-06,2023-09-30,ACCEPTEE
98,944,DECLARATION_PREALABLE,144 Avenue du Prado,13010,3e,2025-10-29,2026-01-28,INSTRUCTION
99,1206,PERMIS_CONSTRUIRE,236 Rue Saint-Ferréol,13016,12e,2023-03-13,2023-07-11,REFUSEE
100,1689,PERMIS_CONSTRUIRE,43 Rue d'Aubagne,13016,3e,2023-11-14,2023-11-25,INSTRUCTION
101,200,AUTORISATION_TRAVAUX,126 Rue de Lodi,13008,5e,2023-07-03,2023-08-25,REFUSEE
102,2513,AUTORISATION_TRAVAUX,9 Avenue du Prado,13015,4e,2025-03-28,2025-05-24,ACCEPTEE
103,1191,PERMIS_CONSTRUIRE,25 Boulevard Baille,13011,3e,2025-07-06,2025-10-24,ACCEPTEE
104,348,AUTORISATION_TRAVAUX,126 Boulevard National,13001,6e,2023-10-20,2024-01-07,INSTRUCTION
105,2724,PERMIS_CONSTRUIRE,32 Rue Saint-Ferréol,13011,5e,2024-05-23,2024-09-03,INSTRUCTION
106,2308,PERMIS_CONSTRUIRE,168 Boulevard Baille,13002,2e,2024-04-06,2024-08-02,ACCEPTEE
107,255,AUTORISATION_TRAVAUX,8 Rue d'Aubagne,13006,4e,2023-09-30,2023-12-15,REFUSEE
108,2251,AUTORISATION_TRAVAUX,248 Boulevard National,13010,6e,2025-09-06,2025-10-08,ENREGISTREE
109,2413,DECLARATION_PREALABLE,84 Boulevard National,13015,9e,2025-05-19,2025-08-16,ENREGISTREE
110,1193,PERMIS_CONSTRUIRE,185 Rue Paradis,13004,14e,2023-10-25,2024-01-01,REFUSEE
111,2140,DECLARATION_PREALABLE,43 Rue d'Aubagne,13011,8e,2023-10-02,2023-12-01,ENREGISTREE
112,799,DECLARATION_PREALABLE,216 Avenue du Prado,13006,15e,2023-08-10,2023-09-17,REFUSEE
113,2711,DECLARATION_PREALABLE,208 Boulevard National,13002,6e,2023-08-30,2023-10-25,INSTRUCTION
114,437,PERMIS_CONSTRUIRE,95 Rue d'Aubagne,13010,16e,2025-06-10,2025-08-12,ACCEPTEE
115,816,AUTORISATION_TRAVAUX,27 Rue Paradis,13006,13e,2023-05-25,2023-07-20,ACCEPTEE
116,228,AUTORISATION_TRAVAUX,44 Boulevard National,13009,1e,2024-04-19,2024-06-12,ENREGISTREE
117,605,AUTORISATION_TRAVAUX,25 Boulevard National,13016,2e,2024-11-27,2025-01-31,INSTRUCTION
118,1549,AUTORISATION_TRAVAUX,48 Rue d'Aubagne,13009,6e,2023-10-11,2023-12-31,ACCEPTEE
119,884,AUTORISATION_TRAVAUX,107 Rue Paradis,13011,1e,2023-11-15,2024-02-06,INSTRUCTION
120,2789,AUTORISATION_TRAVAUX,212 Boulevard National,13011,16e,2023-01-05,2023-03-23,REFUSEE
121,1078,DECLARATION_PREALABLE,106 Boulevard National,13005,13e,2024-03-04,2024-04-16,INSTRUCTION
122,649,DECLARATION_PREALABLE,123 Rue Saint-Ferréol,13003,3e,2024-09-28,2024-11-10,INSTRUCTION
123,2094,PERMIS_CONSTRUIRE,61 Boulevard National,13001,14e,2025-09-09,2025-10-24,ACCEPTEE
124,2760,DECLARATION_PREALABLE,109 Rue de Rome,13015,4e,2025-07-07,2025-10-02,ENREGISTREE
125,2518,AUTORISATION_TRAVAUX,84 Boulevard National,13006,1e,2025-07-09,2025-09-19,REFUSEE
126,2888,DECLARATION_PREALABLE,53 Boulevard Baille,13003,15e,2023-01-07,2023-01-31,ENREGISTREE
127,2024,DECLARATION_PREALABLE,166 Rue de Rome,13014,10e,2025-03-18,2025-06-29,REFUSEE
128,1334,AUTORISATION_TRAVAUX,170 Rue de Rome,13010,5e,2023-06-03,2023-08-15,ACCEPTEE
129,2207,DECLARATION_PREALABLE,114 Rue de la République,13009,1e,2023-11-21,2024-01-05,INSTRUCTION
130,1632,AUTORISATION_TRAVAUX,168 Rue de la République,13005,12e,2024-10-02,2025-01-17,INSTRUCTION
131,1439,PERMIS_CONSTRUIRE,106 Avenue du Prado,13005,11e,2024-08-01,2024-08-22,REFUSEE
132,2488,AUTORISATION_TRAVAUX,95 Boulevard National,13008,9e,2024-01-31,2024-02-15,INSTRUCTION
133,1177,PERMIS_CONSTRUIRE,12 Boulevard National,13006,8e,2025-01-16,2025-03-19,INSTRUCTION
134,829,PERMIS_CONSTRUIRE,13 Rue Paradis,13015,9e,2023-08-30,2023-10-01,REFUSEE
135,314,DECLARATION_PREALABLE,219 Rue d'Aubagne,13015,1e,2025-03-12,2025-04-14,ENREGISTREE
136,307,DECLARATION_PREALABLE,144 Avenue du Prado,13006,16e,2023-04-17,2023-06-23,INSTRUCTION
137,524,PERMIS_CONSTRUIRE,178 Rue de la République,13005,9e,2023-11-15,2024-02-14,INSTRUCTION
138,1618,PERMIS_CONSTRUIRE,232 Boulevard Baille,13013,3e,2024-07-24,2024-09-27,ENREGISTREE
139,1562,AUTORISATION_TRAVAUX,205 Rue Paradis,13016,4e,2023-12-13,2024-03-02,INSTRUCTION
140,1300,AUTORISATION_TRAVAUX,198 Rue Paradis,13009,4e,2023-12-23,2024-01-30,ENREGISTREE
141,109,DECLARATION_PREALABLE,191 Rue Paradis,13004,11e,2023-09-13,2023-12-31,ENREGISTREE
142,2904,DECLARATION_PREALABLE,151 Rue Saint-Ferréol,13007,16e,2025-09-11,2025-12-15,INSTRUCTION
143,2037,PERMIS_CONSTRUIRE,8 Boulevard Baille,13004,1e,2023-02-26,2023-05-17,ENREGISTREE
144,2392,AUTORISATION_TRAVAUX,209 Rue de Rome,13006,13e,2023-12-01,2024-02-01,ACCEPTEE
145,1703,AUTORISATION_TRAVAUX,10 Rue de Lodi,13005,12e,2023-01-26,2023-04-14,ACCEPTEE
146,921,DECLARATION_PREALABLE,121 Avenue du Prado,13015,13e,2024-10-14,2025-02-06,ACCEPTEE
147,1945,PERMIS_CONSTRUIRE,133 Rue Paradis,13012,6e,2023-08-05,2023-11-04,ENREGISTREE
148,2156,AUTORISATION_TRAVAUX,9 Rue de Lodi,13015,4e,2024-04-14,2024-05-23,ENREGISTREE
149,138,PERMIS_CONSTRUIRE,21 Boulevard Baille,13015,9e,2025-10-09,2026-01-11,ACCEPTEE
150,1187,PERMIS_CONSTRUIRE,172 Rue de Rome,13011,13e,2025-07-26,2025-09-22,INSTRUCTION
151,346,DECLARATION_PREALABLE,65 Rue de Lodi,13013,10e,2025-09-04,2025-12-20,REFUSEE
152,1637,PERMIS_CONSTRUIRE,140 Boulevard National,13016,10e,2024-05-10,2024-07-14,REFUSEE
153,525,DECLARATION_PREALABLE,13 Boulevard Baille,13009,11e,2023-06-28,2023-09-28,ENREGISTREE
154,2066,DECLARATION_PREALABLE,209 Rue Paradis,13003,6e,2024-06-27,2024-09-16,INSTRUCTION
155,359,PERMIS_CONSTRUIRE,70 Avenue du Prado,13001,2e,2024-12-07,2025-02-22,INSTRUCTION
156,2948,AUTORISATION_TRAVAUX,218 Rue de Lodi,13003,16e,2025-04-10,2025-07-17,INSTRUCTION
157,216,AUTORISATION_TRAVAUX,67 Rue de Rome,13006,15e,2023-10-08,2023-11-30,ACCEPTEE
158,192,PERMIS_CONSTRUIRE,152 Rue Saint-Ferréol,13001,4e,2023-05-24,2023-08-13,INSTRUCTION
159,311,AUTORISATION_TRAVAUX,234 Rue d'Aubagne,13009,2e,2025-03-07,2025-05-28,INSTRUCTION
160,2969,PERMIS_CONSTRUIRE,11 Rue d'Aubagne,13008,12e,2025-01-27,2025-02-22,ENREGISTREE
161,538,AUTORISATION_TRAVAUX,167 Boulevard Baille,13009,10e,2025-01-28,2025-03-03,ENREGISTREE
162,2456,AUTORISATION_TRAVAUX,208 Rue de Lodi,13010,16e,2023-03-28,2023-04-15,REFUSEE
163,986,PERMIS_CONSTRUIRE,171 Boulevard Baille,13003,12e,2025-04-07,2025-04-30,INSTRUCTION
164,2406,AUTORISATION_TRAVAUX,66 Rue d'Aubagne,13013,11e,2024-07-24,2024-09-30,REFUSEE
165,658,PERMIS_CONSTRUIRE,180 Rue de la République,13011,6e,2023-03-04,2023-05-21,ENREGISTREE
166,54,AUTORISATION_TRAVAUX,108 Rue Saint-Ferréol,13004,7e,2025-06-24,2025-09-28,ACCEPTEE
167,922,DECLARATION_PREALABLE,201 Rue d'Aubagne,13003,3e,2023-02-12,2023-05-28,INSTRUCTION
168,1278,DECLARATION_PREALABLE,118 Rue de la République,13009,16e,2023-10-05,2023-10-21,INSTRUCTION
169,792,AUTORISATION_TRAVAUX,139 Avenue du Prado,13007,7e,2025-07-01,2025-09-21,ENREGISTREE
170,2285,DECLARATION_PREALABLE,101 Rue Paradis,13006,5e,2023-07-26,2023-10-11,ENREGISTREE
171,2998,DECLARATION_PREALABLE,241 Rue de Lodi,13002,7e,2023-02-15,2023-06-05,ACCEPTEE
172,2233,PERMIS_CONSTRUIRE,202 Rue d'Aubagne,13005,3e,2024-06-06,2024-07-22,REFUSEE
173,986,DECLARATION_PREALABLE,102 Boulevard Baille,13015,16e,2023-07-04,2023-10-21,INSTRUCTION
174,1440,DECLARATION_PREALABLE,232 Rue Saint-Ferréol,13008,8e,2023-04-15,2023-05-11,REFUSEE
175,2681,PERMIS_CONSTRUIRE,234 Avenue du Prado,13005,11e,2025-06-06,2025-10-04,REFUSEE
176,1579,PERMIS_CONSTRUIRE,183 Rue de Lodi,13013,12e,2025-03-11,2025-04-22,INSTRUCTION
177,2784,DECLARATION_PREALABLE,208 Rue Saint-Ferréol,13002,11e,2024-04-14,2024-07-28,INSTRUCTION
178,2957,PERMIS_CONSTRUIRE,54 Rue Paradis,13001,1e,2024-02-26,2024-04-27,ENREGISTREE
179,1356,DECLARATION_PREALABLE,80 Rue de Lodi,13008,9e,2023-09-17,2023-12-03,ENREGISTREE
180,2644,PERMIS_CONSTRUIRE,131 Rue de Lodi,13013,6e,2025-10-30,2025-12-01,ENREGISTREE
181,456,PERMIS_CONSTRUIRE,225 Rue d'Aubagne,13005,6e,2025-08-11,2025-11-24,ENREGISTREE
182,1696,DECLARATION_PREALABLE,136 Rue de Rome,13016,8e,2024-04-07,2024-06-18,INSTRUCTION
183,746,PERMIS_CONSTRUIRE,207 Boulevard Baille,13012,7e,2024-11-10,2025-02-06,REFUSEE
184,1293,AUTORISATION_TRAVAUX,233 Rue de Lodi,13001,6e,2025-08-14,2025-10-15,ACCEPTEE
185,2790,DECLARATION_PREALABLE,11 Rue d'Aubagne,13009,3e,2025-05-06,2025-07-21,ENREGISTREE
186,2592,PERMIS_CONSTRUIRE,59 Rue de Lodi,13014,9e,2023-07-02,2023-10-17,ACCEPTEE
187,1507,PERMIS_CONSTRUIRE,136 Rue Paradis,13004,16e,2024-12-02,2024-12-19,ENREGISTREE
188,2378,DECLARATION_PREALABLE,105 Avenue du Prado,13009,1e,2023-06-02,2023-07-09,ACCEPTEE
189,832,DECLARATION_PREALABLE,153 Rue Paradis,13016,3e,2024-04-23,2024-06-10,INSTRUCTION
190,2314,PERMIS_CONSTRUIRE,88 Rue Paradis,13014,16e,2024-12-23,2025-02-16,ACCEPTEE
191,1792,DECLARATION_PREALABLE,82 Rue d'Aubagne,13012,6e,2025-05-28,2025-09-17,ENREGISTREE
192,2618,AUTORISATION_TRAVAUX,50 Rue Paradis,13016,13e,2023-01-15,2023-01-26,ACCEPTEE
193,475,DECLARATION_PREALABLE,87 Rue de Rome,13008,2e,2023-08-18,2023-12-15,ENREGISTREE
194,2856,DECLARATION_PREALABLE,76 Rue Saint-Ferréol,13008,4e,2024-01-13,2024-04-26,INSTRUCTION
195,2187,PERMIS_CONSTRUIRE,168 Rue Paradis,13003,1e,2023-04-12,2023-06-11,INSTRUCTION
196,2402,DECLARATION_PREALABLE,248 Avenue du Prado,13005,9e,2023-01-27,2023-02-28,ENREGISTREE
197,2141,AUTORISATION_TRAVAUX,241 Rue de la République,13002,1e,2023-05-17,2023-09-02,INSTRUCTION
198,1527,PERMIS_CONSTRUIRE,19 Avenue du Prado,13005,2e,2024-06-07,2024-09-13,INSTRUCTION
199,1904,AUTORISATION_TRAVAUX,4 Rue de la République,13008,4e,2025-01-02,2025-02-05,INSTRUCTION
200,1490,AUTORISATION_TRAVAUX,228 Rue de la République,13012,8e,2023-03-05,2023-04-17,REFUSEE
201,1378,AUTORISATION_TRAVAUX,83 Boulevard National,13012,1e,2024-01-03,2024-02-11,REFUSEE
202,137,DECLARATION_PREALABLE,27 Avenue du Prado,13002,8e,2025-06-24,2025-07-09,REFUSEE
203,202,PERMIS_CONSTRUIRE,76 Boulevard National,13004,5e,2025-03-03,2025-04-16,REFUSEE
204,2275,AUTORISATION_TRAVAUX,70 Rue de Lodi,13008,16e,2025-02-25,2025-03-11,INSTRUCTION
205,1489,AUTORISATION_TRAVAUX,72 Rue de Lodi,13012,6e,2025-06-26,2025-09-30,ENREGISTREE
206,1102,AUTORISATION_TRAVAUX,133 Avenue du Prado,13007,10e,2023-07-12,2023-09-22,ENREGISTREE
207,2510,PERMIS_CONSTRUIRE,152 Avenue du Prado,13006,14e,2024-07-03,2024-10-10,ENREGISTREE
208,1587,AUTORISATION_TRAVAUX,126 Avenue du Prado,13003,2e,2023-03-25,2023-06-21,ACCEPTEE
209,315,AUTORISATION_TRAVAUX,46 Avenue du Prado,13002,9e,2024-05-03,2024-08-21,REFUSEE
210,2388,PERMIS_CONSTRUIRE,162 Rue d'Aubagne,13004,15e,2025-06-11,2025-07-16,ACCEPTEE
211,890,PERMIS_CONSTRUIRE,227 Rue d'Aubagne,13012,5e,2024-04-05,2024-05-10,ACCEPTEE
212,2744,PERMIS_CONSTRUIRE,107 Rue de la République,13006,9e,2025-10-28,2026-01-23,REFUSEE
213,1665,PERMIS_CONSTRUIRE,170 Boulevard National,13016,7e,2024-09-29,2024-10-27,INSTRUCTION
214,753,AUTORISATION_TRAVAUX,192 Avenue du Prado,13013,6e,2024-08-13,2024-11-05,REFUSEE
215,1349,PERMIS_CONSTRUIRE,55 Boulevard Baille,13009,2e,2024-03-29,2024-07-09,ACCEPTEE
216,588,PERMIS_CONSTRUIRE,94 Rue de la République,13007,8e,2024-01-21,2024-03-12,REFUSEE
217,1128,PERMIS_CONSTRUIRE,139 Avenue du Prado,13013,5e,2024-02-29,2024-05-25,INSTRUCTION
218,1851,PERMIS_CONSTRUIRE,128 Rue de Rome,13013,3e,2023-03-30,2023-06-19,REFUSEE
219,656,AUTORISATION_TRAVAUX,195 Boulevard Baille,13009,5e,2023-04-08,2023-05-13,REFUSEE
220,2004,DECLARATION_PREALABLE,58 Boulevard Baille,13008,6e,2024-11-15,2024-12-10,INSTRUCTION
221,1700,AUTORISATION_TRAVAUX,174 Rue Paradis,13008,3e,2025-06-28,2025-08-06,ENREGISTREE
222,355,DECLARATION_PREALABLE,19 Avenue du Prado,13002,14e,2024-10-21,2025-02-02,REFUSEE
223,2991,DECLARATION_PREALABLE,88 Rue de Rome,13002,16e,2024-09-06,2024-11-09,ACCEPTEE
224,2500,PERMIS_CONSTRUIRE,115 Rue Paradis,13001,11e,2024-12-05,2025-01-10,ENREGISTREE
225,2513,DECLARATION_PREALABLE,33 Rue Saint-Ferréol,13002,5e,2023-08-01,2023-08-23,INSTRUCTION
226,2415,AUTORISATION_TRAVAUX,94 Rue d'Aubagne,13012,1e,2023-03-15,2023-05-17,REFUSEE
227,2298,PERMIS_CONSTRUIRE,246 Rue d'Aubagne,13007,11e,2025-03-31,2025-07-15,INSTRUCTION
228,920,AUTORISATION_TRAVAUX,25 Boulevard Baille,13016,16e,2024-06-28,2024-07-22,REFUSEE
229,2292,AUTORISATION_TRAVAUX,179 Rue d'Aubagne,13005,15e,2024-09-26,2024-11-20,REFUSEE
230,329,PERMIS_CONSTRUIRE,100 Rue Saint-Ferréol,13006,14e,2023-12-27,2024-03-02,INSTRUCTION
231,1209,DECLARATION_PREALABLE,139 Rue d'Aubagne,13013,5e,2023-06-29,2023-10-03,INSTRUCTION
232,308,PERMIS_CONSTRUIRE,174 Boulevard Baille,13004,16e,2025-10-31,2026-01-24,ENREGISTREE
233,2729,AUTORISATION_TRAVAUX,26 Boulevard Baille,13013,1e,2023-10-28,2023-12-04,INSTRUCTION
