demande_id,citoyen_id,type_demande,date_demande,date_traitement,statut,mode_retrait
64,1088,ACTE_NAISSANCE,2023-12-19,2023-12-20,EN_COURS,COURRIER
65,1507,LIVRET_FAMILLE,2025-02-09,2025-02-24,ENREGISTREE,COURRIER
66,326,LIVRET_FAMILLE,2025-09-02,2025-09-20,ENREGISTREE,COURRIER
67,2889,LIVRET_FAMILLE,2025-05-05,2025-05-08,REFUSEE,COURRIER
68,2268,ACTE_MARIAGE,2024-03-16,2024-03-31,REFUSEE,COURRIER
69,876,ACTE_NAISSANCE,2023-11-23,2023-12-08,ENREGISTREE,EN_LIGNE
70,1449,ACTE_NAISSANCE,2024-03-19,2024-03-23,REFUSEE,EN_LIGNE
71,164,ACTE_NAISSANCE,2025-09-28,2025-10-04,REFUSEE,COURRIER
72,2040,LIVRET_FAMILLE,2024-01-02,2024-01-11,EN_COURS,COURRIER
73,2211,LIVRET_FAMILLE,2023-04-09,2023-04-14,ENREGISTREE,EN_LIGNE
74,454,ACTE_MARIAGE,2024-09-06,2024-09-18,TERMINEE,GUICHET
75,2648,LIVRET_FAMILLE,2025-04-16,2025-05-03,EN_COURS,GUICHET
76,2234,ACTE_MARIAGE,2023-09-29,2023-10-19,ENREGISTREE,GUICHET
77,2575,ACTE_DECES,2024-09-09,2024-09-24,TERMINEE,COURRIER
78,1536,ACTE_MARIAGE,2023-01-27,2023-01-30,TERMINEE,GUICHET
79,1532,ACTE_DECES,2023-02-20,2023-02-22,REFUSEE,GUICHET
80,2005,ACTE_MARIAGE,2024-05-04,2024-05-17,TERMINEE,GUICHET
81,462,ACTE_MARIAGE,2024-08-05,2024-08-24,TERMINEE,GUICHET
82,1205,LIVRET_FAMILLE,2023-11-13,2023-11-24,EN_COURS,EN_LIGNE
83,1738,ACTE_DECES,2025-01-24,2025-02-05,ENREGISTREE,GUICHET
84,2405,ACTE_MARIAGE,2024-01-24,2024-02-09,EN_COURS,GUICHET
85,441,LIVRET_FAMILLE,2023-09-08,2023-09-28,ENREGISTREE,GUICHET
86,2222,ACTE_MARIAGE,2023-07-30,2023-08-04,EN_COURS,EN_LIGNE
87,1404,ACTE_NAISSANCE,2024-05-03,2024-05-05,EN_COURS,GUICHET
88,2520,ACTE_NAISSANCE,2025-10-20,2025-11-01,REFUSEE,COURRIER
89,1460,ACTE_NAISSANCE,2024-10-15,2024-10-26,REFUSEE,COURRIER
90,464,LIVRET_FAMILLE,2023-03-21,2023-04-06,REFUSEE,EN_LIGNE
91,278,ACTE_MARIAGE,2023-12-24,2024-01-11,ENREGISTREE,COURRIER
92,450,ACTE_NAISSANCE,2024-01-01,2024-01-15,TERMINEE,COURRIER
93,1505,ACTE_MARIAGE,2025-10-04,2025-10-12,TERMINEE,EN_LIGNE
94,2499,LIVRET_FAMILLE,2024-12-27,2025-01-13,EN_COURS,EN_LIGNE
95,238,ACTE_DECES,2024-01-06,2024-01-16,TERMINEE,COURRIER
96,772,ACTE_NAISSANCE,2025-06-02,2025-06-03,REFUSEE,EN_LIGNE
97,972,ACTE_MARIAGE,2024-12-10,2024-12-28,TERMINEE,GUICHET
98,2563,ACTE_DECES,2023-05-29,2023-06-03,TERMINEE,COURRIER
99,2025,LIVRET_FAMILLE,2024-09-26,2024-09-30,EN_COURS,EN_LIGNE
100,1068,ACTE_NAISSANCE,2023-05-07,2023-05-11,ENREGISTREE,EN_LIGNE
101,1831,ACTE_NAISSANCE,2023-03-22,2023-04-11,TERMINEE,GUICHET
102,908,ACTE_MARIAGE,2023-07-22,2023-07-23,REFUSEE,GUICHET
103,2871,LIVRET_FAMILLE,2025-02-20,2025-02-28,TERMINEE,EN_LIGNE
104,837,ACTE_MARIAGE,2023-10-27,2023-11-02,EN_COURS,COURRIER
105,2726,LIVRET_FAMILLE,2024-09-25,2024-10-01,EN_COURS,EN_LIGNE
106,2477,ACTE_MARIAGE,2023-07-02,2023-07-11,ENREGISTREE,GUICHET
107,2313,ACTE_DECES,2024-07-08,2024-07-21,EN_COURS,GUICHET
108,567,ACTE_NAISSANCE,2024-03-08,2024-03-21,ENREGISTREE,EN_LIGNE
109,1523,ACTE_MARIAGE,2023-11-29,2023-12-07,REFUSEE,COURRIER
110,2138,ACTE_MARIAGE,2025-01-21,2025-02-09,REFUSEE,COURRIER
111,1711,ACTE_NAISSANCE,2025-07-17,2025-07-28,TERMINEE,COURRIER
112,993,ACTE_MARIAGE,2023-03-07,2023-03-10,TERMINEE,EN_LIGNE
113,277,ACTE_NAISSANCE,2024-04-11,2024-04-12,ENREGISTREE,COURRIER
114,1364,ACTE_NAISSANCE,2023-08-09,2023-08-17,EN_COURS,GUICHET
115,2623,ACTE_MARIAGE,2024-05-29,2024-06-06,ENREGISTREE,GUICHET
116,1586,ACTE_NAISSANCE,2024-01-31,2024-02-09,REFUSEE,GUICHET
117,807,ACTE_NAISSANCE,2025-06-22,2025-07-08,REFUSEE,GUICHET
118,1784,ACTE_DECES,2025-05-07,2025-05-25,ENREGISTREE,COURRIER
119,706,ACTE_DECES,2023-01-11,2023-01-12,ENREGISTREE,COURRIER
120,1962,ACTE_MARIAGE,2024-09-18,2024-10-07,REFUSEE,GUICHET
121,122,ACTE_MARIAGE,2025-07-26,2025-08-02,ENREGISTREE,GUICHET
122,1073,ACTE_DECES,2024-09-14,2024-10-01,TERMINEE,GUICHET
123,740,LIVRET_FAMILLE,2024-12-31,2025-01-15,REFUSEE,EN_LIGNE
124,1901,ACTE_MARIAGE,2023-12-11,2023-12-31,REFUSEE,GUICHET
125,835,ACTE_MARIAGE,2025-06-28,2025-07-10,TERMINEE,GUICHET
126,2802,ACTE_MARIAGE,2025-07-13,2025-07-14,ENREGISTREE,GUICHET
127,1289,ACTE_NAISSANCE,2025-03-17,2025-03-28,ENREGISTREE,GUICHET
128,284,LIVRET_FAMILLE,2023-10-26,2023-11-02,EN_COURS,EN_LIGNE
129,1389,ACTE_NAISSANCE,2024-01-19,2024-01-28,EN_COURS,COURRIER
130,1985,ACTE_MARIAGE,2023-06-29,2023-07-18,EN_COURS,COURRIER
131,2852,LIVRET_FAMILLE,2023-10-08,2023-10-16,EN_COURS,EN_LIGNE
132,583,ACTE_MARIAGE,2024-08-23,2024-08-27,ENREGISTREE,GUICHET
133,495,ACTE_MARIAGE,2023-10-25,2023-10-25,EN_COURS,GUICHET
134,877,ACTE_NAISSANCE,2023-01-08,2023-01-12,EN_COURS,COURRIER
135,1167,ACTE_DECES,2024-07-05,2024-07-13,ENREGISTREE,GUICHET
136,416,ACTE_MARIAGE,2025-07-06,2025-07-26,REFUSEE,COURRIER
137,1466,ACTE_DECES,2024-06-06,2024-06-06,ENREGISTREE,GUICHET
138,1918,ACTE_MARIAGE,2024-11-04,2024-11-22,TERMINEE,GUICHET
139,2523,ACTE_MARIAGE,2023-04-18,2023-05-06,EN_COURS,COURRIER
140,807,ACTE_MARIAGE,2023-06-29,2023-07-05,EN_COURS,EN_LIGNE
141,750,ACTE_MARIAGE,2024-05-13,2024-05-14,ENREGISTREE,EN_LIGNE
142,1702,ACTE_NAISSANCE,2025-02-07,2025-02-19,TERMINEE,GUICHET
143,1584,ACTE_NAISSANCE,2023-03-29,2023-04-14,REFUSEE,COURRIER
144,2668,ACTE_NAISSANCE,2023-05-11,2023-05-31,TERMINEE,GUICHET
145,2599,ACTE_NAISSANCE,2024-09-20,2024-09-25,EN_COURS,GUICHET
146,1073,ACTE_MARIAGE,2023-01-19,2023-01-26,EN_COURS,EN_LIGNE
147,2947,ACTE_DECES,2025-01-23,2025-02-04,EN_COURS,COURRIER
148,1423,LIVRET_FAMILLE,2024-04-27,2024-04-28,EN_COURS,EN_LIGNE
149,2926,ACTE_DECES,2025-07-12,2025-07-16,REFUSEE,COURRIER
150,837,ACTE_MARIAGE,2024-01-22,2024-01-22,REFUSEE,COURRIER
151,1413,ACTE_NAISSANCE,2025-02-23,2025-03-15,ENREGISTREE,COURRIER
152,904,ACTE_NAISSANCE,2025-07-25,2025-07-26,ENREGISTREE,COURRIER
153,1314,ACTE_MARIAGE,2024-11-07,2024-11-10,REFUSEE,COURRIER
154,525,LIVRET_FAMILLE,2025-01-01,2025-01-06,ENREGISTREE,COURRIER
155,2351,LIVRET_FAMILLE,2024-10-01,2024-10-16,ENREGISTREE,COURRIER
156,936,ACTE_DECES,2023-06-23,2023-06-26,EN_COURS,EN_LIGNE
157,406,LIVRET_FAMILLE,2025-04-02,2025-04-14,EN_COURS,GUICHET
158,877,LIVRET_FAMILLE,2023-05-27,2023-06-12,ENREGISTREE,EN_LIGNE
159,1108,LIVRET_FAMILLE,2025-02-16,2025-03-03,REFUSEE,COURRIER
160,305,ACTE_NAISSANCE,2023-04-02,2023-04-09,EN_COURS,EN_LIGNE
161,663,ACTE_NAISSANCE,2025-07-16,2025-07-28,EN_COURS,GUICHET
162,1973,ACTE_MARIAGE,2023-06-27,2023-07-16,TERMINEE,GUICHET
163,617,ACTE_DECES,2023-06-21,2023-07-10,ENREGISTREE,GUICHET
164,2227,ACTE_MARIAGE,2023-02-24,2023-02-26,ENREGISTREE,COURRIER
165,965,LIVRET_FAMILLE,2025-06-03,2025-06-13,ENREGISTREE,EN_LIGNE
166,2222,ACTE_MARIAGE,2025-09-05,2025-09-12,REFUSEE,GUICHET
167,2439,LIVRET_FAMILLE,2024-02-23,2024-03-05,EN_COURS,GUICHET
168,1329,LIVRET_FAMILLE,2024-08-06,2024-08-22,TERMINEE,EN_LIGNE
169,1657,ACTE_DECES,2025-08-22,2025-09-11,EN_COURS,GUICHET
170,1951,ACTE_DECES,2024-09-27,2024-10-04,REFUSEE,EN_LIGNE
171,635,ACTE_MARIAGE,2024-05-30,2024-06-07,EN_COURS,EN_LIGNE
172,884,ACTE_NAISSANCE,2023-06-13,2023-06-26,REFUSEE,COURRIER
173,463,ACTE_NAISSANCE,2024-05-02,2024-05-13,REFUSEE,GUICHET
174,2051,LIVRET_FAMILLE,2023-12-25,2024-01-06,REFUSEE,EN_LIGNE
175,1907,ACTE_MARIAGE,2024-02-13,2024-02-22,EN_COURS,EN_LIGNE
176,333,ACTE_MARIAGE,2025-03-24,2025-04-13,TERMINEE,EN_LIGNE
177,1184,ACTE_NAISSANCE,2023-05-05,2023-05-05,EN_COURS,EN_LIGNE
178,57,ACTE_NAISSANCE,2024-01-03,2024-01-21,EN_COURS,GUICHET
179,2590,ACTE_DECES,2025-04-06,2025-04-12,ENREGISTREE,COURRIER
180,2344,LIVRET_FAMILLE,2024-04-11,2024-04-29,TERMINEE,EN_LIGNE
181,2359,ACTE_MARIAGE,2025-09-30,2025-10-01,EN_COURS,COURRIER
182,2486,ACTE_MARIAGE,2023-05-29,2023-06-02,EN_COURS,EN_LIGNE
183,2761,ACTE_NAISSANCE,2025-04-20,2025-04-28,ENREGISTREE,COURRIER
184,1305,ACTE_NAISSANCE,2024-10-31,2024-11-06,EN_COURS,GUICHET
185,509,ACTE_MARIAGE,2023-01-03,2023-01-22,TERMINEE,EN_LIGNE
186,569,ACTE_NAISSANCE,2023-05-18,2023-05-24,ENREGISTREE,COURRIER
187,1270,ACTE_MARIAGE,2023-12-14,2024-01-01,TERMINEE,EN_LIGNE
188,388,ACTE_MARIAGE,2024-08-16,2024-08-20,TERMINEE,GUICHET
189,1390,ACTE_NAISSANCE,2024-08-07,2024-08-16,REFUSEE,EN_LIGNE
190,2732,ACTE_DECES,2025-01-07,2025-01-20,ENREGISTREE,COURRIER
191,799,LIVRET_FAMILLE,2024-12-19,2024-12-29,EN_COURS,COURRIER
192,2611,ACTE_DECES,2025-09-05,2025-09-12,TERMINEE,GUICHET
193,2423,LIVRET_FAMILLE,2025-01-28,2025-02-06,EN_COURS,COURRIER
194,1945,ACTE_MARIAGE,2024-02-08,2024-02-26,REFUSEE,COURRIER
195,1138,ACTE_MARIAGE,2023-12-20,2024-01-09,REFUSEE,COURRIER
196,371,ACTE_MARIAGE,2023-09-04,2023-09-04,TERMINEE,COURRIER
197,1941,LIVRET_FAMILLE,2024-12-17,2025-01-03,TERMINEE,COURRIER
198,775,LIVRET_FAMILLE,2023-09-27,2023-09-30,REFUSEE,GUICHET
199,2409,ACTE_NAISSANCE,2025-06-22,2025-06-27,REFUSEE,GUICHET
200,2489,ACTE_NAISSANCE,2025-09-11,2025-09-24,TERMINEE,COURRIER
201,223,LIVRET_FAMILLE,2024-06-01,2024-06-15,TERMINEE,EN_LIGNE
202,298,LIVRET_FAMILLE,2025-08-30,2025-09-15,TERMINEE,COURRIER
203,1498,ACTE_NAISSANCE,2023-04-01,2023-04-03,REFUSEE,GUICHET
204,2666,LIVRET_FAMILLE,2025-06-29,2025-07-01,REFUSEE,GUICHET
205,1065,LIVRET_FAMILLE,2025-07-18,2025-07-24,ENREGISTREE,GUICHET
206,605,LIVRET_FAMILLE,2025-09-10,2025-09-23,REFUSEE,EN_LIGNE
207,2524,ACTE_DECES,2024-12-19,2024-12-29,TERMINEE,COURRIER
208,1014,ACTE_MARIAGE,2023-11-02,2023-11-06,TERMINEE,GUICHET
209,1363,ACTE_MARIAGE,2025-04-12,2025-04-24,ENREGISTREE,COURRIER
210,2281,ACTE_DECES,2025-04-18,2025-04-27,TERMINEE,GUICHET
211,1117,ACTE_DECES,2023-05-31,2023-06-15,TERMINEE,GUICHET
212,2384,ACTE_DECES,2024-03-19,2024-04-04,EN_COURS,COURRIER
213,1429,LIVRET_FAMILLE,2023-02-02,2023-02-13,REFUSEE,GUICHET
214,1565,ACTE_MARIAGE,2024-12-27,2025-01-10,EN_COURS,COURRIER
215,14,ACTE_DECES,2024-10-20,2024-11-09,TERMINEE,COURRIER
216,1686,ACTE_DECES,2024-07-28,2024-08-04,REFUSEE,GUICHET
217,1984,ACTE_NAISSANCE,2025-10-31,2025-11-13,EN_COURS,EN_LIGNE
218,2750,ACTE_DECES,2023-07-21,2023-08-08,REFUSEE,COURRIER
219,1499,LIVRET_FAMILLE,2025-03-23,2025-04-09,TERMINEE,EN_LIGNE
220,121,LIVRET_FAMILLE,2024-05-26,2024-06-05,ENREGISTREE,EN_LIGNE
221,1724,ACTE_MARIAGE,2025-04-08,2025-04-22,REFUSEE,EN_LIGNE
222,2250,ACTE_NAISSANCE,2024-02-25,2024-03-10,REFUSEE,GUICHET
223,427,LIVRET_FAMILLE,2025-07-24,2025-07-25,ENREGISTREE,COURRIER
224,930,ACTE_NAISSANCE,2024-04-28,2024-04-29,EN_COURS,COURRIER
225,90,ACTE_NAISSANCE,2024-07-24,2024-07-25,ENREGISTREE,GUICHET
226,555,ACTE_DECES,2024-08-31,2024-08-31,ENREGISTREE,EN_LIGNE
227,130,ACTE_MARIAGE,2025-08-16,2025-08-20,TERMINEE,GUICHET
228,661,ACTE_DECES,2023-11-04,2023-11-11,ENREGISTREE,GUICHET
229,1639,LIVRET_FAMILLE,2023-02-10,2023-03-02,ENREGISTREE,EN_LIGNE
230,584,ACTE_MARIAGE,2023-04-30,2023-05-12,REFUSEE,EN_LIGNE
231,2468,ACTE_MARIAGE,2025-10-26,2025-11-07,EN_COURS,EN_LIGNE
232,1354,ACTE_DECES,2024-11-30,2024-12-08,EN_COURS,COURRIER
233,1603,ACTE_NAISSANCE,2023-08-24,2023-09-04,REFUSEE,EN_LIGNE
234,16,ACTE_NAISSANCE,2023-07-08,2023-07-08,ENREGISTREE,GUICHET
235,1873,ACTE_DECES,2023-03-31,2023-04-02,TERMINEE,EN_LIGNE
236,1157,ACTE_MARIAGE,2025-02-02,2025-02-04,EN_COURS,EN_LIGNE
237,235,ACTE_MARIAGE,2025-08-14,2025-08-24,ENREGISTREE,EN_LIGNE
238,298,ACTE_DECES,2023-08-06,2023-08-22,TERMINEE,COURRIER
239,1652,ACTE_DECES,2025-06-25,2025-06-28,EN_COURS,COURRIER
240,2204,ACTE_DECES,2023-07-01,2023-07-12,EN_COURS,EN_LIGNE
241,1907,ACTE_DECES,2023-09-27,2023-10-09,REFUSEE,GUICHET
242,1918,ACTE_NAISSANCE,2023-04-02,2023-04-08,EN_COURS,EN_LIGNE
243,1552,ACTE_MARIAGE,2025-07-03,2025-07-04,REFUSEE,COURRIER
244,2040,ACTE_DECES,2025-10-03,2025-10-04,TERMINEE,COURRIER
245,2432,ACTE_NAISSANCE,2025-10-09,2025-10-20,ENREGISTREE,EN_LIGNE
246,1582,ACTE_MARIAGE,2023-10-22,2023-11-05,REFUSEE,EN_LIGNE
247,2615,ACTE_DECES,2024-01-21,2024-01-24,EN_COURS,GUICHET
248,2591,ACTE_NAISSANCE,2025-03-03,2025-03-23,TERMINEE,COURRIER
249,1635,LIVRET_FAMILLE,2024-10-25,2024-10-25,TERMINEE,COURRIER
250,432,ACTE_DECES,2024-04-10,2024-04-23,TERMINEE,COURRIER
251,936,ACTE_NAISSANCE,2025-03-17,2025-03-22,ENREGISTREE,EN_LIGNE
252,1786,ACTE_MARIAGE,2024-09-18,2024-09-20,ENREGISTREE,EN_LIGNE
253,2736,LIVRET_FAMILLE,2024-10-16,2024-11-01,REFUSEE,COURRIER
254,1825,LIVRET_FAMILLE,2024-04-29,2024-05-01,EN_COURS,GUICHET
255,145,ACTE_DECES,2025-09-09,2025-09-13,REFUSEE,EN_LIGNE
256,572,ACTE_DECES,2024-04-30,2024-05-10,ENREGISTREE,GUICHET
257,214,LIVRET_FAMILLE,2023-05-15,2023-06-04,TERMINEE,COURRIER
258,2695,ACTE_MARIAGE,2024-11-02,2024-11-20,TERMINEE,GUICHET
259,909,ACTE_NAISSANCE,2023-01-02,2023-01-17,TERMINEE,GUICHET
260,1489,ACTE_MARIAGE,2024-07-24,2024-07-31,TERMINEE,EN_LIGNE
261,787,ACTE_NAISSANCE,2023-06-15,2023-06-26,ENREGISTREE,GUICHET
262,1269,ACTE_DECES,2024-04-22,2024-05-01,TERMINEE,GUICHET
263,2410,ACTE_MARIAGE,2024-07-19,2024-07-22,EN_COURS,EN_LIGNE
264,2831,ACTE_DECES,2025-06-06,2025-06-19,TERMINEE,EN_LIGNE
265,53,ACTE_DECES,2023-10-08,2023-10-25,EN_COURS,GUICHET
266,2106,LIVRET_FAMILLE,2024-08-23,2024-08-29,EN_COURS,COURRIER
267,1689,ACTE_MARIAGE,2023-12-05,2023-12-24,TERMINEE,EN_LIGNE
268,1348,ACTE_NAISSANCE,2023-07-17,2023-07-18,REFUSEE,EN_LIGNE
269,2971,ACTE_DECES,2023-04-18,2023-04-18,REFUSEE,GUICHET
270,2448,ACTE_DECES,2025-08-14,2025-09-01,ENREGISTREE,COURRIER
271,144,ACTE_NAISSANCE,2023-05-18,2023-05-31,EN_COURS,EN_LIGNE
272,766,ACTE_NAISSANCE,2024-12-14,2024-12-26,TERMINEE,COURRIER
273,2433,ACTE_NAISSANCE,2024-04-19,2024-05-09,REFUSEE,COURRIER
274,2516,LIVRET_FAMILLE,2023-03-19,2023-04-07,EN_COURS,COURRIER
275,387,ACTE_NAISSANCE,2024-11-04,2024-11-06,EN_COURS,COURRIER
276,2444,LIVRET_FAMILLE,2024-12-15,2024-12-26,TERMINEE,GUICHET
277,2751,ACTE_NAISSANCE,2025-06-21,2025-07-08,EN_COURS,GUICHET
278,2547,ACTE_DECES,2024-07-11,2024-07-15,TERMINEE,COURRIER
279,539,ACTE_NAISSANCE,2023-09-29,2023-10-16,REFUSEE,EN_LIGNE
280,1482,ACTE_DECES,2023-01-12,2023-01-30,ENREGISTREE,GUICHET
281,158,ACTE_NAISSANCE,2024-09-10,2024-09-10,TERMINEE,EN_LIGNE
282,2223,ACTE_DECES,2025-06-30,2025-07-12,EN_COURS,GUICHET
283,1059,ACTE_NAISSANCE,2024-10-14,2024-10-21,REFUSEE,COURRIER
284,2843,ACTE_MARIAGE,2024-09-21,2024-09-27,REFUSEE,COURRIER
285,506,ACTE_MARIAGE,2025-08-20,2025-09-05,EN_COURS,GUICHET
286,23,ACTE_NAISSANCE,2025-10-02,2025-10-03,EN_COURS,EN_LIGNE
287,1027,ACTE_NAISSANCE,2023-09-26,2023-10-03,TERMINEE,GUICHET
288,2249,LIVRET_FAMILLE,2025-02-05,2025-02-10,ENREGISTREE,COURRIER
289,233,LIVRET_FAMILLE,2023-10-07,2023-10-09,REFUSEE,EN_LIGNE
290,1762,LIVRET_FAMILLE,2023-03-27,2023-04-02,EN_COURS,COURRIER
291,2224,LIVRET_FAMILLE,2023-09-29,2023-09-29,EN_COURS,EN_LIGNE
292,1213,ACTE_NAISSANCE,2023-04-07,2023-04-22,ENREGISTREE,GUICHET
293,1837,LIVRET_FAMILLE,2024-08-10,2024-08-10,EN_COURS,EN_LIGNE
294,2296,ACTE_NAISSANCE,2025-02-08,2025-02-20,ENREGISTREE,COURRIER
295,580,LIVRET_FAMILLE,2023-07-07,2023-07-15,TERMINEE,COURRIER
296,917,LIVRET_FAMILLE,2024-09-23,2024-10-04,REFUSEE,EN_LIGNE
297,2110,LIVRET_FAMILLE,2023-12-05,2023-12-12,TERMINEE,GUICHET
298,177,LIVRET_FAMILLE,2023-10-13,2023-10-26,EN_COURS,GUICHET
299,2548,LIVRET_FAMILLE,2025-05-24,2025-06-06,EN_COURS,COURRIER
300,1380,ACTE_DECES,2023-03-05,2023-03-20,EN_COURS,EN_LIGNE
301,539,ACTE_MARIAGE,2025-03-06,2025-03-22,EN_COURS,GUICHET
302,703,ACTE_MARIAGE,2024-03-08,2024-03-10,REFUSEE,COURRIER
303,2669,LIVRET_FAMILLE,2025-09-09,2025-09-13,REFUSEE,GUICHET
304,2247,ACTE_MARIAGE,2024-01-17,2024-01-20,EN_COURS,COURRIER
305,2765,LIVRET_FAMILLE,2023-07-14,2023-07-21,ENREGISTREE,GUICHET
306,2581,ACTE_DECES,2024-12-12,2024-12-18,TERMINEE,COURRIER
307,1838,ACTE_DECES,2025-02-11,2025-02-23,TERMINEE,EN_LIGNE
308,1761,LIVRET_FAMILLE,2023-08-03,2023-08-12,REFUSEE,COURRIER
309,1245,ACTE_MARIAGE,2025-02-01,2025-02-14,ENREGISTREE,EN_LIGNE
