rdv_id,citoyen_id,service_id,type_rdv,date_demande,date_rdv,statut,canal,commentaire
163,1998,6,Rendez-vous social,2024-04-12,2024-05-12,ANNULE,EN_LIGNE,
164,1486,2,Carte d'identité,2023-08-31,2023-09-15,EN_ATTENTE,GUICHET,
165,627,5,Urbanisme,2023-04-18,2023-04-22,HONORE,EN_LIGNE,
166,2868,7,Mariage,2023-02-28,2023-03-05,HONORE,EN_LIGNE,
167,263,3,Carte d'identité,2025-06-22,2025-07-20,ANNULE,EN_LIGNE,
168,2527,2,Naissance,2024-12-12,2024-12-22,CONFIRME,EN_LIGNE,
169,1973,7,Naissance,2023-02-27,2023-03-18,ANNULE,TELEPHONE,
170,1967,10,Carte d'identité,2025-02-10,2025-02-19,HONORE,EN_LIGNE,
171,1566,8,Urbanisme,2024-03-07,2024-03-31,HONORE,GUICHET,
172,1698,11,Etat civil,2023-03-28,2023-04-19,HONORE,GUICHET,
173,819,2,Mariage,2023-10-10,2023-10-12,CONFIRME,EN_LIGNE,
174,482,14,Rendez-vous social,2023-04-11,2023-05-02,HONORE,GUICHET,
175,1078,2,Urbanisme,2025-01-19,2025-02-11,CONFIRME,TELEPHONE,
176,487,16,Naissance,2025-09-18,2025-09-24,CONFIRME,TELEPHONE,
177,2943,8,Rendez-vous social,2023-03-28,2023-03-31,CONFIRME,EN_LIGNE,
178,2563,6,Etat civil,2025-02-23,2025-03-23,ANNULE,GUICHET,
179,772,6,Urbanisme,2023-05-18,2023-06-16,ANNULE,TELEPHONE,
180,2601,4,Naissance,2023-06-23,2023-07-10,EN_ATTENTE,EN_LIGNE,
181,965,8,Passeport,2025-09-09,2025-10-03,CONFIRME,GUICHET,
182,1458,15,Mariage,2024-10-10,2024-11-04,HONORE,TELEPHONE,
183,1269,9,Naissance,2023-05-11,2023-05-30,CONFIRME,TELEPHONE,
184,1196,15,Naissance,2024-01-14,2024-01-26,CONFIRME,GUICHET,
185,2317,13,Urbanisme,2024-09-19,2024-10-10,CONFIRME,EN_LIGNE,
186,2058,9,Mariage,2023-10-22,2023-10-29,EN_ATTENTE,TELEPHONE,
187,2596,12,Mariage,2023-06-04,2023-06-14,EN_ATTENTE,GUICHET,
188,182,1,Naissance,2024-01-27,2024-02-17,HONORE,TELEPHONE,
189,568,13,Mariage,2024-05-09,2024-05-19,CONFIRME,GUICHET,
190,2619,3,Etat civil,2025-02-23,2025-03-02,CONFIRME,EN_LIGNE,
191,2129,6,Passeport,2025-02-25,2025-03-23,CONFIRME,TELEPHONE,
192,2213,2,Rendez-vous social,2023-12-31,2024-01-18,ANNULE,TELEPHONE,
193,2135,6,Urbanisme,2025-01-11,2025-01-22,HONORE,GUICHET,
194,748,1,Etat civil,2023-01-04,2023-01-24,HONORE,GUICHET,
195,1271,10,Rendez-vous social,2024-09-23,2024-10-20,HONORE,TELEPHONE,
196,2436,5,Etat civil,2025-07-03,2025-07-04,HONORE,EN_LIGNE,
197,2982,15,Etat civil,2024-01-22,2024-01-27,EN_ATTENTE,GUICHET,
198,2670,15,Passeport,2024-11-03,2024-11-22,EN_ATTENTE,EN_LIGNE,
199,1411,9,Naissance,2024-05-08,2024-05-10,EN_ATTENTE,EN_LIGNE,
200,721,1,Naissance,2024-07-15,2024-08-07,EN_ATTENTE,EN_LIGNE,
201,2622,16,Urbanisme,2023-05-19,2023-05-23,ANNULE,EN_LIGNE,
202,2439,11,Rendez-vous social,2025-07-06,2025-07-17,EN_ATTENTE,EN_LIGNE,
203,1767,7,Passeport,2023-04-25,2023-04-26,ANNULE,GUICHET,
204,1747,7,Urbanisme,2023-02-17,2023-02-22,HONORE,EN_LIGNE,
205,1913,13,Passeport,2025-06-13,2025-07-02,CONFIRME,EN_LIGNE,
206,673,16,Carte d'identité,2025-05-05,2025-05-08,CONFIRME,EN_LIGNE,
207,1241,12,Mariage,2024-12-12,2024-12-17,HONORE,TELEPHONE,
208,1436,13,Urbanisme,2023-05-11,2023-06-10,CONFIRME,GUICHET,
209,2972,11,Rendez-vous social,2023-03-09,2023-04-06,HONORE,TELEPHONE,
210,308,10,Passeport,2025-01-16,2025-02-09,ANNULE,TELEPHONE,
211,803,15,Rendez-vous social,2023-12-26,2024-01-25,ANNULE,TELEPHONE,
212,2081,12,Mariage,2025-05-27,2025-06-11,ANNULE,TELEPHONE,
213,2391,12,Naissance,2024-10-24,2024-11-08,EN_ATTENTE,TELEPHONE,
214,482,14,Rendez-vous social,2025-01-18,2025-01-30,ANNULE,GUICHET,
215,2989,14,Carte d'identité,2024-11-21,2024-11-24,HONORE,GUICHET,
216,2627,1,Carte d'identité,2023-10-09,2023-10-22,ANNULE,EN_LIGNE,
217,1272,6,Passeport,2024-06-21,2024-07-21,ANNULE,GUICHET,
218,1463,2,Rendez-vous social,2023-04-07,2023-04-29,ANNULE,TELEPHONE,
219,28,13,Urbanisme,2024-01-11,2024-01-22,EN_ATTENTE,GUICHET,
220,1212,4,Passeport,2023-10-19,2023-10-29,EN_ATTENTE,GUICHET,
221,2619,6,Etat civil,2023-11-20,2023-11-30,CONFIRME,EN_LIGNE,
222,756,8,Mariage,2023-01-26,2023-02-13,HONORE,TELEPHONE,
223,2867,13,Rendez-vous social,2023-10-03,2023-10-15,CONFIRME,TELEPHONE,
224,2945,4,Rendez-vous social,2024-08-24,2024-09-07,HONORE,GUICHET,
225,1931,3,Carte d'identité,2023-07-19,2023-08-09,HONORE,TELEPHONE,
226,1515,8,Naissance,2024-10-03,2024-10-31,CONFIRME,TELEPHONE,
227,2049,10,Mariage,2023-05-17,2023-06-04,HONORE,EN_LIGNE,
228,1427,11,Urbanisme,2023-10-01,2023-10-23,ANNULE,GUICHET,
229,2784,11,Etat civil,2023-09-23,2023-10-11,EN_ATTENTE,EN_LIGNE,
230,2246,3,Passeport,2024-09-10,2024-09-24,CONFIRME,EN_LIGNE,
231,502,3,Carte d'identité,2025-05-16,2025-05-22,ANNULE,EN_LIGNE,
232,2313,4,Rendez-vous social,2023-04-21,2023-05-12,EN_ATTENTE,TELEPHONE,
233,2755,11,Mariage,2025-03-08,2025-04-04,EN_ATTENTE,GUICHET,
234,2681,15,Naissance,2024-07-05,2024-07-05,HONORE,GUICHET,
235,2011,12,Rendez-vous social,2024-03-01,2024-03-30,HONORE,TELEPHONE,
236,2460,9,Urbanisme,2023-07-02,2023-07-24,HONORE,EN_LIGNE,
237,69,10,Rendez-vous social,2023-07-03,2023-07-08,ANNULE,TELEPHONE,
238,1112,2,Rendez-vous social,2025-08-10,2025-08-24,CONFIRME,TELEPHONE,
239,1348,2,Naissance,2025-02-03,2025-02-06,HONORE,EN_LIGNE,
240,2484,2,Mariage,2024-02-24,2024-03-06,ANNULE,TELEPHONE,
241,10,15,Rendez-vous social,2025-02-15,2025-03-15,EN_ATTENTE,GUICHET,
242,1647,3,Naissance,2025-05-17,2025-05-25,EN_ATTENTE,EN_LIGNE,
243,1496,4,Urbanisme,2024-06-21,2024-06-27,ANNULE,GUICHET,
244,1283,12,Mariage,2025-01-16,2025-01-21,ANNULE,TELEPHONE,
245,253,14,Mariage,2023-09-27,2023-10-10,EN_ATTENTE,TELEPHONE,
246,1592,9,Mariage,2023-02-28,2023-03-28,EN_ATTENTE,GUICHET,
247,2642,6,Passeport,2025-05-19,2025-05-19,EN_ATTENTE,EN_LIGNE,
248,2915,8,Carte d'identité,2023-06-07,2023-06-11,EN_ATTENTE,GUICHET,
249,1061,12,Mariage,2025-02-24,2025-02-27,HONORE,TELEPHONE,
250,842,9,Mariage,2024-06-19,2024-07-06,HONORE,GUICHET,
251,2706,14,Urbanisme,2024-02-23,2024-03-05,HONORE,GUICHET,
252,2838,3,Urbanisme,2025-08-27,2025-09-11,EN_ATTENTE,EN_LIGNE,
253,2299,3,Naissance,2023-06-29,2023-07-22,CONFIRME,EN_LIGNE,
254,1939,11,Naissance,2023-11-24,2023-11-30,EN_ATTENTE,TELEPHONE,
255,964,6,Carte d'identité,2023-06-16,2023-07-14,ANNULE,EN_LIGNE,
256,2741,15,Rendez-vous social,2023-07-21,2023-08-05,ANNULE,GUICHET,
257,1705,8,Urbanisme,2025-09-20,2025-10-10,EN_ATTENTE,GUICHET,
258,2969,3,Urbanisme,2023-12-19,2024-01-11,EN_ATTENTE,GUICHET,
259,581,6,Etat civil,2024-09-17,2024-10-03,HONORE,GUICHET,
260,2934,8,Rendez-vous social,2024-10-13,2024-11-01,ANNULE,GUICHET,
261,2302,4,Passeport,2024-06-07,2024-06-18,ANNULE,EN_LIGNE,
262,141,10,Urbanisme,2024-11-28,2024-12-16,EN_ATTENTE,EN_LIGNE,
263,2881,6,Mariage,2024-08-26,2024-08-30,HONORE,EN_LIGNE,
264,2043,2,Naissance,2023-09-12,2023-10-07,CONFIRME,GUICHET,
265,392,8,Passeport,2025-10-05,2025-10-11,HONORE,EN_LIGNE,
266,919,2,Rendez-vous social,2024-11-30,2024-12-18,CONFIRME,TELEPHONE,
267,2897,3,Passeport,2024-04-02,2024-04-09,HONORE,GUICHET,
268,472,8,Passeport,2025-10-22,2025-11-15,CONFIRME,EN_LIGNE,
269,335,11,Rendez-vous social,2023-11-16,2023-12-16,ANNULE,GUICHET,
270,1714,12,Carte d'identité,2025-04-07,2025-04-09,EN_ATTENTE,TELEPHONE,
271,1851,1,Naissance,2023-04-20,2023-04-25,EN_ATTENTE,GUICHET,
272,561,4,Rendez-vous social,2023-09-29,2023-09-29,ANNULE,GUICHET,
273,1547,14,Carte d'identité,2024-11-22,2024-12-04,CONFIRME,GUICHET,
274,524,4,Rendez-vous social,2024-05-17,2024-05-18,EN_ATTENTE,EN_LIGNE,
275,983,9,Carte d'identité,2025-02-11,2025-03-12,HONORE,EN_LIGNE,
276,2417,5,Rendez-vous social,2023-06-19,2023-06-28,HONORE,TELEPHONE,
277,1113,9,Naissance,2025-06-18,2025-06-29,HONORE,TELEPHONE,
278,601,2,Carte d'identité,2025-09-29,2025-10-24,HONORE,EN_LIGNE,
279,2781,4,Passeport,2025-01-08,2025-01-15,HONORE,GUICHET,
280,8,9,Rendez-vous social,2025-02-25,2025-02-28,HONORE,TELEPHONE,
281,1060,10,Passeport,2025-01-13,2025-01-22,EN_ATTENTE,TELEPHONE,
282,1304,6,Carte d'identité,2023-10-03,2023-10-27,ANNULE,TELEPHONE,
283,1553,11,Rendez-vous social,2023-02-05,2023-02-24,CONFIRME,EN_LIGNE,
284,1025,8,Etat civil,2025-09-01,2025-09-10,CONFIRME,EN_LIGNE,
285,974,4,Urbanisme,2025-06-13,2025-07-02,ANNULE,TELEPHONE,
286,1068,8,Mariage,2024-03-15,2024-03-30,ANNULE,EN_LIGNE,
287,1808,4,Carte d'identité,2024-05-29,2024-06-03,HONORE,EN_LIGNE,
288,673,11,Rendez-vous social,2023-01-04,2023-01-31,CONFIRME,TELEPHONE,
289,402,6,Carte d'identité,2025-08-30,2025-09-04,CONFIRME,TELEPHONE,
290,599,2,Passeport,2024-09-01,2024-09-20,ANNULE,TELEPHONE,
291,887,16,Etat civil,2023-04-17,2023-04-24,CONFIRME,EN_LIGNE,
292,2441,16,Passeport,2024-03-05,2024-04-04,HONORE,EN_LIGNE,
293,398,1,Mariage,2024-11-30,2024-12-06,ANNULE,TELEPHONE,
294,1460,6,Passeport,2024-04-08,2024-05-08,EN_ATTENTE,GUICHET,
295,2473,9,Rendez-vous social,2025-01-26,2025-02-18,EN_ATTENTE,GUICHET,
296,2144,12,Rendez-vous social,2023-07-11,2023-07-14,EN_ATTENTE,GUICHET,
297,2541,9,Urbanisme,2023-09-03,2023-09-29,CONFIRME,TELEPHONE,
298,553,1,Passeport,2024-06-06,2024-06-12,HONORE,TELEPHONE,
299,771,10,Urbanisme,2024-01-20,2024-02-07,ANNULE,GUICHET,
300,405,15,Urbanisme,2023-01-26,2023-01-27,CONFIRME,EN_LIGNE,
301,1193,5,Carte d'identité,2024-02-06,2024-03-01,EN_ATTENTE,EN_LIGNE,
302,2511,3,Naissance,2025-07-30,2025-08-02,ANNULE,EN_LIGNE,
303,908,5,Carte d'identité,2024-04-10,2024-05-01,ANNULE,EN_LIGNE,
304,1253,9,Passeport,2025-10-26,2025-11-21,EN_ATTENTE,TELEPHONE,
305,487,5,Etat civil,2023-12-09,2023-12-24,ANNULE,GUICHET,
306,320,2,Urbanisme,2024-09-13,2024-10-01,CONFIRME,TELEPHONE,
307,667,9,Carte d'identité,2025-01-07,2025-01-08,ANNULE,TELEPHONE,
308,2337,3,Carte d'identité,2023-10-21,2023-10-27,EN_ATTENTE,EN_LIGNE,
309,2317,15,Passeport,2024-12-31,2025-01-13,ANNULE,TELEPHONE,
310,231,4,Mariage,2023-04-09,2023-04-20,HONORE,TELEPHONE,
311,86,5,Passeport,2025-06-15,2025-06-16,EN_ATTENTE,GUICHET,
312,518,8,Etat civil,2025-03-07,2025-03-17,ANNULE,TELEPHONE,
313,378,1,Etat civil,2023-02-09,2023-02-21,ANNULE,GUICHET,
314,1429,16,Rendez-vous social,2024-10-01,2024-10-19,ANNULE,GUICHET,
315,970,9,Rendez-vous social,2025-07-12,2025-08-07,EN_ATTENTE,GUICHET,
316,2840,9,Rendez-vous social,2025-01-19,2025-01-21,ANNULE,EN_LIGNE,
317,195,6,Etat civil,2023-12-23,2024-01-17,EN_ATTENTE,GUICHET,
318,652,7,Passeport,2024-02-01,2024-02-05,HONORE,EN_LIGNE,
319,383,5,Mariage,2023-03-06,2023-04-05,EN_ATTENTE,EN_LIGNE,
320,632,13,Urbanisme,2024-04-21,2024-04-21,HONORE,EN_LIGNE,
321,1572,15,Naissance,2024-08-26,2024-09-18,CONFIRME,GUICHET,
322,1436,6,Rendez-vous social,2023-11-09,2023-11-14,HONORE,TELEPHONE,
323,1612,11,Rendez-vous social,2024-07-24,2024-08-05,CONFIRME,EN_LIGNE,
324,1772,3,Carte d'identité,2025-01-28,2025-02-25,EN_ATTENTE,EN_LIGNE,
